epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1644,1.01646,1.65176,1.09436,0.99385,0.24761,0.24903,0.22624,0.48782,0.96129,0.83678,0.000411458,0.000411458,0.000411458
2,50.098,0.7005,0.67341,0.93998,0.85908,0.32289,0.30986,0.24604,0.62055,0.69083,0.8806,0.000811728,0.000811728,0.000811728
3,74.9805,0.64364,0.58402,0.92024,0.93879,0.47673,0.48125,0.38739,0.44426,0.58034,0.84847,0.0011955,0.0011955,0.0011955
4,99.8622,0.61016,0.51297,0.90898,0.9681,0.49952,0.49505,0.41557,0.4042,0.44634,0.82944,0.00117575,0.00117575,0.00117575
5,122.764,0.58601,0.46938,0.90135,0.97289,0.49135,0.49752,0.41545,0.38646,0.41901,0.82136,0.001151,0.001151,0.001151
6,146.92,0.56691,0.44737,0.8913,0.92837,0.46162,0.47312,0.40761,0.39873,0.4388,0.82288,0.00112625,0.00112625,0.00112625
7,170.813,0.55411,0.42719,0.89064,0.99824,0.48415,0.50571,0.42985,0.39065,0.35669,0.82628,0.0011015,0.0011015,0.0011015
8,194.663,0.53255,0.40426,0.88434,0.94455,0.4478,0.47414,0.40949,0.44749,0.369,0.82499,0.00107675,0.00107675,0.00107675
9,218.401,0.52224,0.38889,0.87911,0.96786,0.49201,0.50286,0.44061,0.35207,0.31966,0.81804,0.001052,0.001052,0.001052
10,241.726,0.51969,0.38051,0.87968,0.98254,0.48434,0.50746,0.44138,0.36996,0.30275,0.81701,0.00102725,0.00102725,0.00102725
11,265.652,0.51526,0.37228,0.87967,0.96963,0.4921,0.51286,0.43931,0.36151,0.29647,0.81775,0.0010025,0.0010025,0.0010025
12,289.441,0.50866,0.36332,0.87884,0.97645,0.49947,0.51014,0.43961,0.39368,0.31159,0.82468,0.00097775,0.00097775,0.00097775
13,313.717,0.48774,0.3634,0.87256,0.7115,0.47686,0.51048,0.44125,0.34607,0.28517,0.81733,0.000953,0.000953,0.000953
14,336.037,0.50671,0.35617,0.87561,0.9906,0.49024,0.51588,0.44519,0.35212,0.28221,0.81867,0.00092825,0.00092825,0.00092825
15,359.944,0.48598,0.3407,0.86914,0.99584,0.4893,0.51691,0.44685,0.34533,0.28234,0.81775,0.0009035,0.0009035,0.0009035
