epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.616,0.95428,1.23015,1.09767,0.94742,0.43272,0.50212,0.41607,0.51955,0.51261,0.87363,0.000415033,0.000415033,0.000415033
2,201.271,0.82854,0.79107,1.0301,0.59577,0.55913,0.56179,0.4433,0.42436,0.49637,0.86233,0.000831496,0.000831496,0.000831496
3,290.326,0.80765,0.76075,1.02206,0.54917,0.55066,0.55526,0.45751,0.40024,0.43735,0.85418,0.00124715,0.00124715,0.00124715
4,381.553,0.78241,0.76762,1.01538,0.53629,0.56694,0.61257,0.46683,0.38299,0.37774,0.84376,0.00124725,0.00124725,0.00124725
5,472.395,0.75026,0.69184,0.99596,0.70295,0.64377,0.63513,0.48046,0.37445,0.39696,0.84618,0.00124512,0.00124512,0.00124512
6,568.474,0.74006,0.68939,0.99362,0.64944,0.54829,0.55994,0.45058,0.47112,0.43539,0.86077,0.00124238,0.00124238,0.00124238
7,659.221,0.71307,0.64854,0.98382,0.56144,0.59466,0.62338,0.48439,0.37726,0.37551,0.84308,0.00123904,0.00123904,0.00123904
8,756.137,0.7085,0.63434,0.97962,0.70997,0.6288,0.63169,0.4978,0.34272,0.33204,0.83261,0.0012351,0.0012351,0.0012351
9,851.461,0.70257,0.63861,0.97661,0.63291,0.60346,0.64864,0.50724,0.34225,0.32684,0.83289,0.00123056,0.00123056,0.00123056
10,947.086,0.69399,0.62767,0.97693,0.65133,0.69984,0.6876,0.51424,0.38518,0.36447,0.84271,0.00122543,0.00122543,0.00122543
11,1043.96,0.67751,0.60228,0.96662,0.66324,0.67042,0.6718,0.49562,0.36007,0.33621,0.83866,0.00121972,0.00121972,0.00121972
12,1133.63,0.66175,0.59217,0.9597,0.70205,0.62336,0.64049,0.50609,0.32406,0.30873,0.82859,0.00121342,0.00121342,0.00121342
13,1223.84,0.65919,0.58264,0.95879,0.66127,0.6645,0.62767,0.51579,0.34048,0.32408,0.83632,0.00120655,0.00120655,0.00120655
14,1320.12,0.64889,0.57138,0.95527,0.73601,0.71196,0.69843,0.55267,0.33459,0.30572,0.82965,0.00119911,0.00119911,0.00119911
15,1415.08,0.65076,0.586,0.95894,0.67223,0.62643,0.63827,0.51564,0.3265,0.32725,0.8307,0.00119111,0.00119111,0.00119111
16,1503.77,0.6488,0.58198,0.95851,0.6705,0.66674,0.68687,0.54707,0.32994,0.31934,0.83114,0.00118256,0.00118256,0.00118256
17,1591.85,0.62901,0.56305,0.95307,0.61141,0.65001,0.62761,0.4996,0.31332,0.30672,0.82574,0.00117346,0.00117346,0.00117346
18,1679.73,0.63473,0.56119,0.95054,0.65009,0.67633,0.67743,0.5258,0.31801,0.29958,0.82752,0.00116383,0.00116383,0.00116383
19,1768.96,0.62006,0.54485,0.94474,0.70811,0.67536,0.68499,0.5355,0.32391,0.2944,0.82988,0.00115368,0.00115368,0.00115368
20,1859.41,0.60965,0.54229,0.94082,0.74899,0.64411,0.6921,0.53569,0.29939,0.28363,0.82351,0.00114301,0.00114301,0.00114301
21,1949.21,0.61388,0.54227,0.94282,0.7105,0.69673,0.71392,0.55516,0.31159,0.29447,0.82516,0.00113183,0.00113183,0.00113183
22,2044.33,0.60801,0.52819,0.93945,0.62851,0.72751,0.68567,0.54261,0.34285,0.3028,0.82689,0.00112016,0.00112016,0.00112016
23,2132.77,0.60352,0.53219,0.93951,0.66963,0.72224,0.69855,0.54936,0.29184,0.27167,0.82014,0.00110801,0.00110801,0.00110801
24,2224.23,0.59908,0.52051,0.93583,0.64203,0.68756,0.6914,0.52002,0.30739,0.28901,0.82407,0.00109538,0.00109538,0.00109538
25,2314.96,0.59175,0.52489,0.93315,0.7875,0.62353,0.6462,0.51675,0.29473,0.28159,0.82059,0.0010823,0.0010823,0.0010823
26,2406.76,0.59388,0.51903,0.93192,0.6846,0.67365,0.67641,0.53125,0.29621,0.27151,0.82293,0.00106877,0.00106877,0.00106877
27,2496.78,0.58604,0.51824,0.93246,0.68211,0.66674,0.69975,0.54818,0.30432,0.28327,0.824,0.00105481,0.00105481,0.00105481
28,2584.89,0.57727,0.50674,0.92996,0.6535,0.6913,0.64367,0.52531,0.29227,0.27711,0.82315,0.00104044,0.00104044,0.00104044
29,2674.1,0.57952,0.5146,0.93031,0.74799,0.63389,0.68422,0.55766,0.28843,0.2738,0.82092,0.00102566,0.00102566,0.00102566
30,2770.67,0.57221,0.50198,0.92858,0.70126,0.62913,0.65105,0.5182,0.31279,0.27927,0.82482,0.00101049,0.00101049,0.00101049
31,2859.97,0.57189,0.49669,0.92691,0.71551,0.65631,0.65667,0.52398,0.29357,0.27118,0.82338,0.000994942,0.000994942,0.000994942
32,2950.32,0.57091,0.50089,0.92613,0.79543,0.64005,0.70273,0.5562,0.29285,0.27131,0.82394,0.000979039,0.000979039,0.000979039
33,3041.18,0.5731,0.49348,0.92738,0.63564,0.69729,0.70727,0.53503,0.28633,0.26537,0.82128,0.000962793,0.000962793,0.000962793
34,3130.71,0.55804,0.47986,0.91987,0.83173,0.63834,0.69816,0.53964,0.28904,0.2574,0.82002,0.000946219,0.000946219,0.000946219
35,3220.87,0.55882,0.48152,0.92371,0.86746,0.64817,0.68705,0.53569,0.29127,0.26466,0.82135,0.000929335,0.000929335,0.000929335
36,3310.66,0.5588,0.48375,0.92337,0.70631,0.69114,0.69992,0.56866,0.29108,0.26929,0.82018,0.000912157,0.000912157,0.000912157
37,3404.52,0.54536,0.47214,0.91551,0.684,0.72681,0.71455,0.56167,0.28181,0.25276,0.81843,0.000894701,0.000894701,0.000894701
38,3494.93,0.54292,0.46936,0.914,0.64882,0.70056,0.71937,0.58036,0.29375,0.25828,0.81908,0.000876985,0.000876985,0.000876985
39,3591.31,0.54531,0.47749,0.91909,0.7336,0.70136,0.72476,0.57557,0.28704,0.26171,0.81994,0.000859027,0.000859027,0.000859027
40,3681.66,0.5378,0.46575,0.91336,0.79385,0.71077,0.73514,0.55918,0.2772,0.25099,0.81687,0.000840844,0.000840844,0.000840844
41,3772.02,0.54354,0.46888,0.92088,0.85305,0.6204,0.70899,0.57127,0.29205,0.26045,0.81894,0.000822454,0.000822454,0.000822454
42,3862.47,0.54181,0.46718,0.91616,0.67135,0.74792,0.73097,0.58906,0.28651,0.25328,0.8192,0.000803876,0.000803876,0.000803876
43,3958.48,0.53785,0.4657,0.91609,0.81229,0.68259,0.72117,0.58359,0.2771,0.24351,0.81593,0.000785127,0.000785127,0.000785127
44,4048.9,0.5384,0.46529,0.91437,0.70704,0.6803,0.70084,0.55926,0.27963,0.24794,0.8154,0.000766226,0.000766226,0.000766226
45,4138.5,0.53147,0.45657,0.91326,0.72639,0.67028,0.69947,0.55638,0.28189,0.24608,0.82052,0.000747192,0.000747192,0.000747192
46,4228.9,0.52681,0.45385,0.9112,0.73518,0.66962,0.71702,0.57865,0.28245,0.2502,0.81863,0.000728044,0.000728044,0.000728044
47,4318.29,0.51718,0.44641,0.90674,0.81042,0.63934,0.69922,0.55545,0.28385,0.24681,0.81899,0.0007088,0.0007088,0.0007088
48,4409.92,0.51457,0.44592,0.90809,0.68156,0.70073,0.74078,0.58178,0.27378,0.2418,0.81623,0.00068948,0.00068948,0.00068948
49,4499.1,0.51132,0.43909,0.90626,0.78488,0.66032,0.71589,0.58469,0.27771,0.25392,0.81807,0.000670102,0.000670102,0.000670102
50,4588.96,0.51813,0.44652,0.9083,0.83186,0.72842,0.73069,0.56753,0.27209,0.23865,0.81552,0.000650685,0.000650685,0.000650685
51,4679.29,0.51237,0.44128,0.9057,0.77897,0.67028,0.68776,0.56594,0.27704,0.24497,0.81862,0.00063125,0.00063125,0.00063125
52,4768.86,0.51086,0.43794,0.90221,0.72638,0.77326,0.72184,0.57264,0.27337,0.24212,0.81541,0.000611815,0.000611815,0.000611815
53,4860.31,0.50681,0.43016,0.90284,0.74502,0.67845,0.69217,0.58337,0.27175,0.2379,0.81627,0.000592398,0.000592398,0.000592398
54,4949.84,0.51243,0.43459,0.90448,0.72966,0.69052,0.7412,0.58826,0.27294,0.23791,0.81599,0.00057302,0.00057302,0.00057302
55,5039.99,0.50318,0.42602,0.9043,0.66909,0.74775,0.73039,0.58947,0.27231,0.24395,0.81522,0.0005537,0.0005537,0.0005537
56,5135.89,0.4983,0.42957,0.90081,0.81638,0.66444,0.73089,0.58618,0.26286,0.23847,0.81438,0.000534456,0.000534456,0.000534456
57,5226.38,0.5012,0.42939,0.90306,0.77151,0.72616,0.72567,0.58305,0.27625,0.23663,0.81573,0.000515308,0.000515308,0.000515308
